,predicted_mean
2025-01-01,226696.25369346392
2025-02-01,226898.92147669668
2025-03-01,226924.44525242408
2025-04-01,226927.65969093516
2025-05-01,226928.06451407154
2025-06-01,226928.11549708806
2025-07-01,226928.12191783762
2025-08-01,226928.12272646034
2025-09-01,226928.12282829746
2025-10-01,226928.12284112273
2025-11-01,226928.12284273794
2025-12-01,226928.12284294135
2026-01-01,226928.12284296696
2026-02-01,226928.1228429702
2026-03-01,226928.1228429706
2026-04-01,226928.12284297065
2026-05-01,226928.12284297065
2026-06-01,226928.12284297065
2026-07-01,226928.12284297065
2026-08-01,226928.12284297065
2026-09-01,226928.12284297065
2026-10-01,226928.12284297065
2026-11-01,226928.12284297065
2026-12-01,226928.12284297065
