,0
2025-01-01,214827.8295066981
2025-02-01,207731.6128931243
2025-03-01,197083.63071199556
2025-04-01,173946.39391029437
2025-05-01,178858.65863046533
2025-06-01,199605.88666898778
2025-07-01,225596.3949051727
2025-08-01,233388.16858082925
2025-09-01,219155.7221165203
2025-10-01,229741.30766922937
2025-11-01,220585.10728157227
2025-12-01,247322.02632275724
2026-01-01,237062.85606798678
2026-02-01,229966.63945441294
2026-03-01,219318.65727328425
2026-04-01,196181.42047158303
2026-05-01,201093.68519175402
2026-06-01,221840.91323027643
2026-07-01,247831.42146646135
2026-08-01,255623.1951421179
2026-09-01,241390.74867780897
2026-10-01,251976.33423051803
2026-11-01,242820.13384286093
2026-12-01,269557.05288404593
