,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2019-01-01,89959.04290416,32883.2370769132,173002.63499615373,89959.04290416,89959.04290416,12967.59843053949,12967.59843053949,12967.59843053949,12967.59843053949,12967.59843053949,12967.59843053949,0.0,0.0,0.0,102926.6413346995
1,2019-02-01,91160.40188995683,24835.847857658744,165858.82192347056,91160.40188995683,91160.40188995683,2131.099163091284,2131.099163091284,2131.099163091284,2131.099163091284,2131.099163091284,2131.099163091284,0.0,0.0,0.0,93291.50105304812
2,2019-03-01,92245.50032874105,-3538.333563094223,136831.73642563418,92245.50032874105,92245.50032874105,-25369.49741955905,-25369.49741955905,-25369.49741955905,-25369.49741955905,-25369.49741955905,-25369.49741955905,0.0,0.0,0.0,66876.002909182
3,2019-04-01,93446.85931741942,-4326.720468896194,131138.45742451272,93446.85931741942,93446.85931741942,-33906.40510138986,-33906.40510138986,-33906.40510138986,-33906.40510138986,-33906.40510138986,-33906.40510138986,0.0,0.0,0.0,59540.45421602957
4,2019-05-01,94609.46479033396,-15004.420063286705,123377.98087256563,94609.46479033396,94609.46479033396,-36870.12031015018,-36870.12031015018,-36870.12031015018,-36870.12031015018,-36870.12031015018,-36870.12031015018,0.0,0.0,0.0,57739.34448018378
5,2019-06-01,95810.82378263643,18493.20280153834,154765.9741066675,95810.82378263643,95810.82378263643,-11595.580930610171,-11595.580930610171,-11595.580930610171,-11595.580930610171,-11595.580930610171,-11595.580930610171,0.0,0.0,0.0,84215.24285202626
6,2019-07-01,96973.42925905818,48187.28331995465,187488.9400237351,96973.42925905818,96973.42925905818,20553.37005112982,20553.37005112982,20553.37005112982,20553.37005112982,20553.37005112982,20553.37005112982,0.0,0.0,0.0,117526.799310188
7,2019-08-01,98174.78825136065,51791.74476741938,187613.91852345297,98174.78825136065,98174.78825136065,20360.58074509122,20360.58074509122,20360.58074509122,20360.58074509122,20360.58074509122,20360.58074509122,0.0,0.0,0.0,118535.36899645187
8,2019-09-01,99376.14724909923,20403.311704845437,155069.93127510848,99376.14724909923,99376.14724909923,-9289.2851392095,-9289.2851392095,-9289.2851392095,-9289.2851392095,-9289.2851392095,-9289.2851392095,0.0,0.0,0.0,90086.86210988973
9,2019-10-01,100538.75273078175,32690.855396253162,173046.53456556663,100538.75273078175,100538.75273078175,4929.7644403223385,4929.7644403223385,4929.7644403223385,4929.7644403223385,4929.7644403223385,4929.7644403223385,0.0,0.0,0.0,105468.51717110409
10,2019-11-01,101740.11173040337,17734.664528580335,148775.37176205654,101740.11173040337,101740.11173040337,-16849.25930880393,-16849.25930880393,-16849.25930880393,-16849.25930880393,-16849.25930880393,-16849.25930880393,0.0,0.0,0.0,84890.85242159944
