,predicted_mean
2025-01-01,218272.1803033923
2025-02-01,211587.59807684564
2025-03-01,196424.72163491655
2025-04-01,167099.1828792863
2025-05-01,178779.36069212767
2025-06-01,209564.71678231625
2025-07-01,239566.09205926294
2025-08-01,252381.160332549
2025-09-01,211412.74517455857
2025-10-01,205932.4433347083
2025-11-01,188564.4814067762
2025-12-01,225435.13759055865
2026-01-01,216019.91428004304
2026-02-01,210663.59258555205
2026-03-01,195155.695775279
2026-04-01,165442.18011141295
2026-05-01,178087.61931820944
2026-06-01,208994.8361929278
2026-07-01,239675.08562947746
2026-08-01,254308.15773575695
2026-09-01,212191.82310207948
2026-10-01,206885.8049009235
2026-11-01,189173.5853857067
2026-12-01,227013.38858175537
