,Forecast,Lower_CI,Upper_CI
2026-01-01,227780.26865592168,188127.8379951456,267432.6993166978
2026-02-01,210580.16272872724,147765.15574340094,273395.1697140535
2026-03-01,184912.1369305693,109146.24425480182,260678.0296063368
2026-04-01,174483.5119050842,90236.04049912776,258730.98331104062
2026-05-01,179519.24656090993,89386.51216308339,269651.9809587365
2026-06-01,216085.00261672857,121745.37149275013,310424.633740707
2026-07-01,256705.6968676569,159305.43598777102,354105.95774754276
2026-08-01,275981.93446238973,176329.6582101924,375634.21071458707
2026-09-01,217656.92512904838,116334.93126299203,318978.91899510473
2026-10-01,220035.97628958477,117469.40839686048,322602.54418230907
2026-11-01,201422.74572460746,97924.98231042085,304920.5091387941
2026-12-01,238347.61354567853,134151.216443291,342544.01064806606
2027-01-01,228235.5309731422,117389.63621405652,339081.42573222786
2027-02-01,209441.33521107148,90655.90558674677,328226.7648353962
2027-03-01,182901.9997847143,58448.65308231524,307355.3464871134
2027-04-01,175142.8015832904,46569.24159092235,303716.36157565843
2027-05-01,179103.74943276076,47500.15646563293,310707.34239988856
2027-06-01,216448.36638162017,82599.03532370669,350297.69743953366
2027-07-01,258158.12869698106,122635.30416082017,393680.9532331419
2027-08-01,277480.75817301305,140706.0523994287,414255.4639465974
2027-09-01,217673.59543657213,79959.7876649817,355387.4032081625
2027-10-01,220997.21072359805,82577.49526248127,359416.92618471483
2027-11-01,202451.0027788762,63499.86922297446,341402.1363347779
2027-12-01,238987.56626599244,99635.92606505725,378339.20646692766
